date	island	site	point	time	spp	numind	dist	occasion
6/21/11	Rota	grvpt	Gb	623	Ptro	1	45	1
6/21/11	Rota	grvpt	Gb	623	Ptro	1	55	1
6/21/11	Rota	grvpt	Gb	623	Apop	1	35	1
6/21/11	Rota	Palii	Pa	658	Gyal	4	25	1
6/21/11	Rota	Palii	Pa	658	Rhru	1	25	1
6/21/11	Rota	Palii	Pa	658	Apop	1	35	1
6/21/11	Rota	Palii	Pa	658	Ptro	1	28	1
6/21/11	Rota	Palii	Pa	658	Rhru	1	22	1
6/21/11	Rota	Palii	Pa	658	Rhru	1	13	1
6/21/11	Rota	Palii	Pa	658	Toch	1	35	1
6/21/11	Rota	Palii	Pa	658	Toch	1	12	1
6/21/11	Rota	Palii	Pa	658	Dima	1	23	1
6/21/11	Rota	Palii	Pa	658	Apop	4	21	1
6/21/11	Rota	Palii	Pa	658	Apop	1	15	1
6/21/11	Rota	Palii	Pc	711	Dima	2	15	1
6/21/11	Rota	Palii	Pc	711	Rhru	1	28	1
6/21/11	Rota	Palii	Pc	711	Ptro	1	40	1
6/21/11	Rota	Palii	Pc	711	Toch	2	20	1
6/21/11	Rota	Palii	Pc	711	Myru	1	25	1
6/21/11	Rota	Palii	Pc	711	Apop	2	35	1
6/21/11	Rota	Palii	Pb	731	Apop	2	50	1
6/21/11	Rota	Palii	Pb	731	Myru	1	23	1
6/21/11	Rota	Palii	Pb	731	Rhru	1	25	1
6/21/11	Rota	Palii	Pb	731	Rhru	2	40	1
6/21/11	Rota	Palii	Pb	731	Apop	2	40	1
6/21/11	Rota	Palii	Pb	731	Toch	1	35	1
6/21/11	Rota	Isang	Ia	837	Ptro	2	35	1
6/21/11	Rota	Isang	Ia	837	Myru	1	22	1
6/21/11	Rota	Isang	Ia	837	Rhru	1	27	1
6/21/11	Rota	Isang	Ia	837	Rhru	1	22	1
6/21/11	Rota	Isang	Ia	837	Ptro	1	35	1
6/21/11	Rota	Isang	Ia	837	Dima	1	25	1
6/21/11	Rota	Isang	Ia	837	Apop	1	10	1
6/21/11	Rota	Isang	Ia	837	Apop	3	30	1
6/21/11	Rota	Isang	Ia	837	Apop	1	15	1
6/21/11	Rota	Isang	Ic	851	Apop	2	20	1
6/21/11	Rota	Isang	Ic	851	Ptro	1	30	1
